# ell    tt_lensed   ee_lensed   bb_lensed   te_lensed   tt_unlensed ee_unlensed bb_unlensed te_unlensed kk
75 1.972139e+03 3.832606e-01 1.569756e-03 -8.187691e+00 2.172042e+00 4.209050e-04 0.000000e+00 -9.023167e-03 8.990073e-01
76 1.998071e+03 3.969064e-01 1.611993e-03 -8.687766e+00 2.143436e+00 4.245897e-04 0.000000e+00 -9.325973e-03 9.416375e-01
77 2.024075e+03 4.107032e-01 1.654804e-03 -9.196495e+00 2.115651e+00 4.281032e-04 0.000000e+00 -9.619328e-03 9.855863e-01
78 2.050177e+03 4.246420e-01 1.698191e-03 -9.713979e+00 2.088677e+00 4.314458e-04 0.000000e+00 -9.903757e-03 1.030872e+00
79 2.076459e+03 4.387144e-01 1.742156e-03 -1.024062e+01 2.062561e+00 4.346186e-04 0.000000e+00 -1.018005e-02 1.077513e+00
80 2.102982e+03 4.529120e-01 1.786701e-03 -1.077695e+01 2.037324e+00 4.376228e-04 0.000000e+00 -1.044907e-02 1.125528e+00
81 2.129792e+03 4.672264e-01 1.831829e-03 -1.132316e+01 2.012970e+00 4.404601e-04 0.000000e+00 -1.071128e-02 1.174935e+00
82 2.156864e+03 4.816498e-01 1.877540e-03 -1.187870e+01 1.989433e+00 4.431328e-04 0.000000e+00 -1.096641e-02 1.225748e+00
83 2.184162e+03 4.961703e-01 1.923838e-03 -1.244308e+01 1.966644e+00 4.456392e-04 0.000000e+00 -1.121433e-02 1.277985e+00
84 2.211683e+03 5.107757e-01 1.970725e-03 -1.301557e+01 1.944566e+00 4.479783e-04 0.000000e+00 -1.145467e-02 1.331661e+00
85 2.239415e+03 5.254531e-01 2.018201e-03 -1.359578e+01 1.923160e+00 4.501485e-04 0.000000e+00 -1.168743e-02 1.386794e+00
86 2.267356e+03 5.401919e-01 2.066270e-03 -1.418295e+01 1.902394e+00 4.521507e-04 0.000000e+00 -1.191231e-02 1.443397e+00
87 2.295488e+03 5.549785e-01 2.114934e-03 -1.477657e+01 1.882226e+00 4.539836e-04 0.000000e+00 -1.212923e-02 1.501488e+00
88 2.323806e+03 5.698000e-01 2.164195e-03 -1.537609e+01 1.862629e+00 4.556466e-04 0.000000e+00 -1.233813e-02 1.561082e+00
89 2.352337e+03 5.846436e-01 2.214054e-03 -1.598108e+01 1.843602e+00 4.571396e-04 0.000000e+00 -1.253902e-02 1.622195e+00
90 2.381096e+03 5.994923e-01 2.264515e-03 -1.659122e+01 1.825131e+00 4.584596e-04 0.000000e+00 -1.273206e-02 1.684842e+00
91 2.410089e+03 6.143336e-01 2.315578e-03 -1.720602e+01 1.807198e+00 4.596073e-04 0.000000e+00 -1.291724e-02 1.749039e+00
92 2.439308e+03 6.291530e-01 2.367248e-03 -1.782528e+01 1.789778e+00 4.605825e-04 0.000000e+00 -1.309479e-02 1.814801e+00
93 2.468763e+03 6.439363e-01 2.419525e-03 -1.844852e+01 1.772855e+00 4.613849e-04 0.000000e+00 -1.326472e-02 1.882143e+00
94 2.498439e+03 6.586711e-01 2.472411e-03 -1.907554e+01 1.756401e+00 4.620162e-04 0.000000e+00 -1.342724e-02 1.951083e+00
95 2.528346e+03 6.733424e-01 2.525911e-03 -1.970585e+01 1.740403e+00 4.624762e-04 0.000000e+00 -1.358238e-02 2.021635e+00
96 2.558468e+03 6.879365e-01 2.580024e-03 -2.033902e+01 1.724833e+00 4.627658e-04 0.000000e+00 -1.373021e-02 2.093814e+00
97 2.588801e+03 7.024390e-01 2.634755e-03 -2.097465e+01 1.709673e+00 4.628856e-04 0.000000e+00 -1.387079e-02 2.167636e+00
98 2.619346e+03 7.168348e-01 2.690106e-03 -2.161231e+01 1.694907e+00 4.628359e-04 0.000000e+00 -1.400421e-02 2.243114e+00
99 2.650079e+03 7.311106e-01 2.746079e-03 -2.225148e+01 1.680508e+00 4.626184e-04 0.000000e+00 -1.413048e-02 2.320262e+00
100 2.681016e+03 7.452551e-01 2.802676e-03 -2.289165e+01 1.666470e+00 4.622361e-04 0.000000e+00 -1.424962e-02 2.399091e+00
101 2.712150e+03 7.592544e-01 2.859902e-03 -2.353229e+01 1.652778e+00 4.616902e-04 0.000000e+00 -1.436167e-02 2.479619e+00
102 2.743481e+03 7.730871e-01 2.917757e-03 -2.417312e+01 1.639418e+00 4.609776e-04 0.000000e+00 -1.446679e-02 2.561855e+00
103 2.774994e+03 7.867538e-01 2.976247e-03 -2.481330e+01 1.626371e+00 4.601087e-04 0.000000e+00 -1.456484e-02 2.645814e+00
104 2.806689e+03 8.002256e-01 3.035373e-03 -2.545247e+01 1.613627e+00 4.590761e-04 0.000000e+00 -1.465595e-02 2.731509e+00
105 2.838560e+03 8.134961e-01 3.095140e-03 -2.609005e+01 1.601170e+00 4.578858e-04 0.000000e+00 -1.474013e-02 2.818953e+00
106 2.870598e+03 8.265510e-01 3.155550e-03 -2.672534e+01 1.588989e+00 4.565394e-04 0.000000e+00 -1.481735e-02 2.908159e+00
107 2.902796e+03 8.393838e-01 3.216608e-03 -2.735793e+01 1.577070e+00 4.550426e-04 0.000000e+00 -1.488771e-02 2.999141e+00
108 2.935141e+03 8.519730e-01 3.278317e-03 -2.798720e+01 1.565396e+00 4.533928e-04 0.000000e+00 -1.495122e-02 3.091910e+00
109 2.967639e+03 8.643119e-01 3.340681e-03 -2.861249e+01 1.553965e+00 4.515957e-04 0.000000e+00 -1.500789e-02 3.186481e+00
110 3.000276e+03 8.763793e-01 3.403705e-03 -2.923336e+01 1.542762e+00 4.496489e-04 0.000000e+00 -1.505781e-02 3.282867e+00
111 3.033044e+03 8.881683e-01 3.467393e-03 -2.984928e+01 1.531777e+00 4.475580e-04 0.000000e+00 -1.510106e-02 3.381079e+00
112 3.065945e+03 8.996724e-01 3.531750e-03 -3.045952e+01 1.521002e+00 4.453282e-04 0.000000e+00 -1.513761e-02 3.481133e+00
113 3.098969e+03 9.108702e-01 3.596780e-03 -3.106371e+01 1.510429e+00 4.429573e-04 0.000000e+00 -1.516760e-02 3.583041e+00
114 3.132111e+03 9.217475e-01 3.662489e-03 -3.166117e+01 1.500049e+00 4.404469e-04 0.000000e+00 -1.519103e-02 3.686817e+00
115 3.165363e+03 9.323054e-01 3.728881e-03 -3.225139e+01 1.489852e+00 4.378057e-04 0.000000e+00 -1.520800e-02 3.792470e+00
116 3.198725e+03 9.425295e-01 3.795964e-03 -3.283387e+01 1.479835e+00 4.350349e-04 0.000000e+00 -1.521859e-02 3.900012e+00
