,index,ra_deg,dec_deg,redshift,1.4GHz_flux,30GHz_flux,90GHz_flux,148GHz_flux,219GHz_flux,277GHz_flux,350GHz_flux
83,83,6.400825,6.535761,0.30930,6.87997e-02,6.31671e-03,2.09879e-03,1.40204e-03,1.02442e-03,8.48872e-04,7.03996e-04
84,84,6.134776,6.312609,0.31070,2.00254e-01,1.56718e-02,6.50091e-03,4.36675e-03,3.19163e-03,2.64475e-03,2.19338e-03
85,85,5.642317,5.898683,0.32250,1.30993e-01,1.22838e-02,5.06885e-03,3.28798e-03,2.34617e-03,1.92554e-03,1.58731e-03
86,86,5.650491,5.903670,0.32250,7.84611e-01,6.91653e-02,2.82604e-02,1.88540e-02,1.37370e-02,1.13711e-02,9.42462e-03
87,87,5.978604,4.843993,0.32740,6.47939e-01,5.62226e-02,2.31269e-02,1.55257e-02,1.13470e-02,9.40262e-03,7.79791e-03
88,88,6.892493,6.913184,0.32740,1.92797e-01,1.34903e-02,5.57081e-03,3.74192e-03,2.73494e-03,2.26631e-03,1.87953e-03
89,89,6.228702,5.170340,0.32830,1.71126e-01,1.47392e-02,6.07294e-03,4.07877e-03,2.98113e-03,2.47032e-03,2.04872e-03
90,90,6.604014,5.138883,0.32900,9.41949e-02,8.18310e-03,3.34483e-03,2.24425e-03,1.64005e-03,1.35900e-03,1.12706e-03
91,91,6.309163,5.241768,0.32880,6.26151e-01,6.02256e-02,2.34130e-02,1.52158e-02,1.09785e-02,9.06603e-03,7.50666e-03
92,92,6.294897,5.247795,0.32880,1.26948e-01,1.09613e-02,4.53893e-03,3.04807e-03,2.22773e-03,1.84600e-03,1.53095e-03
93,93,6.296727,5.057612,0.32830,8.69465e-02,7.42637e-03,3.08368e-03,2.07135e-03,1.51394e-03,1.25453e-03,1.04042e-03
94,94,6.294245,5.031171,0.32830,3.31261e-01,2.93161e-02,1.09121e-02,7.24440e-03,5.28250e-03,4.37558e-03,3.62830e-03
95,95,6.304610,5.055818,0.32830,6.42800e-01,1.28332e-01,4.59741e-02,2.28620e-02,1.33604e-02,1.00861e-02,7.89399e-03
96,96,6.791249,7.198637,0.32950,5.94562e-01,5.17135e-02,2.13140e-02,1.42817e-02,1.04292e-02,8.64011e-03,7.16474e-03
97,97,5.714186,6.909523,0.33040,1.92399e-01,1.63697e-02,6.78953e-03,4.56057e-03,3.33329e-03,2.76213e-03,2.29073e-03
98,98,5.714465,6.930692,0.33040,2.27426e-01,1.94559e-02,8.04177e-03,5.40078e-03,3.94731e-03,3.27094e-03,2.71270e-03
99,99,5.714726,6.911574,0.33040,3.31618e-01,2.81553e-02,1.16734e-02,7.84116e-03,5.73105e-03,4.74904e-03,3.93854e-03
100,100,5.809571,6.878750,0.32990,1.06410e-01,9.15496e-03,3.80112e-03,2.55326e-03,1.86616e-03,1.54639e-03,1.28248e-03
101,101,5.663586,7.115031,0.33250,1.84159e-01,1.55553e-02,6.43345e-03,4.32128e-03,3.15839e-03,2.61720e-03,2.17053e-03
102,102,4.803407,6.629649,0.33270,7.06368e-02,8.32146e-03,2.98924e-03,1.80604e-03,1.25559e-03,1.02474e-03,8.43280e-04
103,103,4.804729,6.630285,0.33270,5.52681e-02,4.72813e-03,1.96091e-03,1.31715e-03,9.62696e-04,7.97739e-04,6.61592e-04
104,104,5.004040,6.748339,0.33640,1.19289e+00,1.03276e-01,4.22996e-02,2.83973e-02,2.07543e-02,1.71980e-02,1.42629e-02
105,105,6.367359,6.340331,0.34150,5.51780e-02,6.28707e-03,2.68754e-03,1.62298e-03,1.07953e-03,8.55333e-04,6.87301e-04
106,106,6.191537,6.773918,0.34690,3.94127e-01,3.41790e-02,1.37176e-02,9.18105e-03,6.70544e-03,5.55575e-03,4.60736e-03
107,107,6.206670,6.760570,0.34690,2.25271e-01,2.37646e-02,9.95200e-03,6.29071e-03,4.33905e-03,3.48473e-03,2.81736e-03
108,108,6.343076,6.944159,0.35020,8.16817e-01,6.50514e-02,2.69817e-02,1.81240e-02,1.32467e-02,1.09769e-02,9.10349e-03
109,109,6.337822,6.944587,0.35020,1.47853e+00,1.39015e-01,5.98248e-02,3.92543e-02,2.78117e-02,2.26078e-02,1.84357e-02
110,110,6.339672,6.941362,0.35020,1.69224e-01,1.73581e-02,6.30053e-03,4.05633e-03,2.92613e-03,2.41763e-03,2.00260e-03
111,111,6.319693,6.951615,0.35020,1.09176e-01,9.56358e-03,3.89357e-03,2.60948e-03,1.90651e-03,1.57975e-03,1.31011e-03
112,112,6.345083,6.940364,0.35020,1.50018e-01,1.28202e-02,5.32290e-03,3.57547e-03,2.61329e-03,2.16550e-03,1.79592e-03
113,113,5.134513,7.000995,0.34940,3.97920e-01,3.38515e-02,1.40520e-02,9.43892e-03,6.89884e-03,5.71673e-03,4.74108e-03
114,114,5.076430,7.023400,0.34940,1.25265e+00,1.07716e-01,4.47256e-02,3.00428e-02,2.19581e-02,1.81956e-02,1.50902e-02
