,redshift,ra_deg,dec_deg,x_mpc,y_mpc,z_mpc,vx_kms,vy_kms,vz_kms,Mfof,Mvir,Mgas_vir,Rvir,TSZ_Rvir,KSZ_Rvir,SZ_148_Rvir,SZ_219_Rvir,SZ_277_Rvir,SZ_30_Rvir,SZ_90_Rvir,SZ_350_Rvir,Mvir_R200,Mgas_vir_R200,R200,TSZ_R200,KSZ_R200,SZ_148_R200,SZ_219_R200,SZ_277_R200,SZ_30_R200,SZ_90_R200,SZ_350_R200,Mvir_R500,Mgas_vir_R500,R500,TSZ_R500,KSZ_R500,SZ_148_R500,SZ_219_R500,SZ_277_R500,SZ_30_R500,SZ_90_R500,SZ_350_R500,Mstar,rho_gas_central,T_central,P_central,phi_central
139,0.4583,5.0176682,5.386411,1732.8693,152.14488,164.01828,-65.770004,-243.67973,234.76639,58629580000000.0,55265590000000.0,5025674000000.0,0.77750343,5.517009e-06,8.0168553e-07,-4.5728225e-06,8.8557726e-07,5.942886e-06,-9.94878e-06,-7.97716e-06,1.2719097e-05,50075430000000.0,4208670800000.0,0.65071464,5.044421e-06,7.0753373e-07,-4.2056977e-06,7.8334074e-07,5.4054412e-06,-9.121087e-06,-7.318086e-06,1.1599669e-05,31140958000000.0,2387348000000.0,0.4116042,3.6653867e-06,4.6827287e-07,-3.0998826e-06,5.214264e-07,3.8756743e-06,-6.6713906e-06,-5.360706e-06,8.373264e-06,1646914600000.0,73640000000000.0,1.4111407,17680000000000.0,-1.18206
140,0.4574,5.310071,5.500937,1728.3619,160.6417,167.16827,137.10211,-395.84192,159.66891,31525414000000.0,27008052000000.0,2104532800000.0,0.6144563,1.7965272e-06,-6.4375934e-07,-2.3931052e-06,-6.089788e-07,1.0422393e-06,-4.1480084e-06,-3.5049725e-06,3.2467442e-06,23163490000000.0,1699293400000.0,0.50740826,1.5875095e-06,-5.450505e-07,-2.090568e-06,-5.145909e-07,9.438818e-07,-3.6412473e-06,-3.072955e-06,2.8914076e-06,18357787000000.0,1071241760000.0,0.3449725,1.1798383e-06,-3.701694e-07,-1.5183034e-06,-3.4799365e-07,7.3488724e-07,-2.6706969e-06,-2.2482193e-06,2.1814678e-06,913412300000.0,70550000000000.0,1.0547233,12660000000000.0,-0.859023
141,0.458,5.481475,5.931027,1728.9779,165.91745,180.44395,-88.79512,-110.59394,-101.56723,44116356000000.0,36138890000000.0,3413683500000.0,0.6760606,3.3978517e-06,9.695957e-07,-2.344323e-06,1.0218341e-06,4.1430108e-06,-5.652973e-06,-4.440594e-06,8.323544e-06,32486554000000.0,2839141400000.0,0.5640421,3.0846738e-06,8.452287e-07,-2.1627197e-06,8.921029e-07,3.7243951e-06,-5.166397e-06,-4.0655896e-06,7.5186967e-06,25470228000000.0,1830003400000.0,0.3833763,2.4266753e-06,6.1142373e-07,-1.7539589e-06,6.473258e-07,2.8733202e-06,-4.1168873e-06,-3.2505886e-06,5.856634e-06,1121028400000.0,68750000000000.0,1.1934783,13960000000000.0,-0.985663
142,0.4632,5.011176,5.907827,1747.6573,153.24371,181.53801,15.472082,11.055418,-233.85136,31140958000000.0,27392509000000.0,2214545300000.0,0.6123311,1.8314587e-06,4.4312035e-08,-1.7410276e-06,7.653178e-08,1.7606931e-06,-3.5266564e-06,-2.8726074e-06,4.012195e-06,24124630000000.0,1829206100000.0,0.51023024,1.6564532e-06,3.849341e-08,-1.5759917e-06,6.73743e-08,1.5900289e-06,-3.1909792e-06,-2.5993493e-06,3.6259512e-06,17588874000000.0,1142062200000.0,0.3383135,1.2465906e-06,2.6254284e-08,-1.1882447e-06,4.746955e-08,1.1922208e-06,-2.4036028e-06,-1.9582035e-06,2.7235185e-06,943124100000.0,85320000000000.0,1.0788044,15660000000000.0,-0.8880959
143,0.463,6.897243,7.031329,1737.2052,210.1401,215.82817,315.42255,474.1133,167.25,57283984000000.0,53247193000000.0,4815483000000.0,0.76651394,5.104956e-06,-4.6285522e-06,-9.575418e-06,-4.517496e-06,1.4844133e-07,-1.4578482e-05,-1.2741204e-05,6.369072e-06,47480348000000.0,3996418800000.0,0.6377942,4.6509886e-06,-4.062675e-06,-8.568702e-06,-3.9623437e-06,2.8672278e-07,-1.312669e-05,-1.1452584e-05,5.9526583e-06,25470228000000.0,2014771300000.0,0.3828346,3.2317705e-06,-2.5523293e-06,-5.6814474e-06,-2.4844223e-06,4.639824e-07,-8.848288e-06,-7.684554e-06,4.3978366e-06,1667701900000.0,89830000000000.0,1.425077,21780000000000.0,-1.2092563
144,0.4645,6.9262247,6.9019003,1742.2892,211.64934,212.44919,159.17534,521.0614,343.04938,48249260000000.0,44981380000000.0,4089644300000.0,0.72170866,4.155335e-06,-2.5891916e-06,-6.6237767e-06,-2.5059326e-06,1.2976229e-06,-1.0691089e-05,-9.198158e-06,6.375068e-06,41329050000000.0,3503093700000.0,0.6092296,3.8369017e-06,-2.308576e-06,-6.0332477e-06,-2.2323406e-06,1.2782343e-06,-9.788719e-06,-8.410044e-06,5.9653903e-06,30564273000000.0,2250108800000.0,0.40658954,2.9450919e-06,-1.6141307e-06,-4.471471e-06,-1.5570621e-06,1.1342078e-06,-7.3537585e-06,-6.2951717e-06,4.7293015e-06,1321553000000.0,64610000000000.0,1.2663137,13920000000000.0,-1.04643
145,0.4642,6.945154,6.82143,1742.2162,212.2246,209.94817,201.79704,448.68814,755.3745,30660387000000.0,28641992000000.0,2031213300000.0,0.622109,1.5373093e-06,-1.7880739e-06,-3.2844996e-06,-1.7527412e-06,-3.380429e-07,-4.7936437e-06,-4.240431e-06,1.5453703e-06,26527482000000.0,1717992800000.0,0.5283958,1.3916164e-06,-1.5613663e-06,-2.9156631e-06,-1.5295623e-06,-2.4945533e-07,-4.2816337e-06,-3.7808475e-06,1.4550011e-06,17300532000000.0,976605150000.0,0.33572635,9.843745e-07,-1.0030703e-06,-1.960446e-06,-9.809471e-07,-7.648473e-08,-2.9264131e-06,-2.5721556e-06,1.1282742e-06,972395640000.0,54630000000000.0,0.94808024,8812000000000.0,-0.781605
146,0.4653,7.1142035,6.818342,1744.7814,217.76326,210.23767,89.37469,83.413246,707.3562,37100030000000.0,17877216000000.0,1255019600000.0,0.53645635,1.3049746e-06,-8.2188205e-07,-2.0938078e-06,-7.945288e-07,4.074604e-07,-3.3711722e-06,-2.903276e-06,2.0100142e-06,14032653000000.0,850814400000.0,0.42512694,9.815284e-07,-5.967232e-07,-1.5531994e-06,-5.762898e-07,3.2741735e-07,-2.5138934e-06,-2.1619483e-06,1.5324644e-06,9419179000000.0,387141270000.0,0.2744757,5.5754595e-07,-3.1794298e-07,-8.610514e-07,-3.0649076e-07,2.0645813e-07,-1.4066961e-06,-1.2067525e-06,8.906459e-07,715267440000.0,20340000000000.0,0.83483064,2889000000000.0,-0.6199
147,0.4683,6.436076,6.1226525,1759.5859,198.49112,189.94627,21.759188,-6.6845765,440.83038,92750070000000.0,80735810000000.0,8832544000000.0,0.8768335,1.3555573e-05,-1.3968437e-06,-1.4537622e-05,-1.210095e-06,1.1106268e-05,-2.776578e-05,-2.289764e-05,2.7641367e-05,77275710000000.0,7878737000000.0,0.74892735,1.28126485e-05,-1.2746787e-06,-1.3692326e-05,-1.1011587e-06,1.0533635e-05,-2.6195294e-05,-2.159305e-05,2.6157479e-05,63435283000000.0,5766821400000.0,0.5180683,1.0931679e-05,-1.0021308e-06,-1.1590412e-05,-8.6063415e-07,9.051807e-06,-2.2257444e-05,-1.8328843e-05,2.237101e-05,1982064200000.0,171000000000000.0,2.2087493,64260000000000.0,-1.941
148,0.4672,4.971426,5.9290395,1761.5875,153.23373,183.63562,16.19047,49.912712,-124.849266,29410904000000.0,27969194000000.0,1848739600000.0,0.6199113,1.4552056e-06,-3.6380815e-08,-1.4550781e-06,-9.831429e-09,1.3293815e-06,-2.8739498e-06,-2.35442e-06,3.1186257e-06,25662455000000.0,1527610300000.0,0.5232775,1.3039206e-06,-3.1458605e-08,-1.3025051e-06,-7.838168e-09,1.1917788e-06,-2.5738645e-06,-2.1082928e-06,2.7947342e-06,16531620000000.0,827208240000.0,0.3300183,9.0364716e-07,-1.9801044e-08,-9.0033785e-07,-3.7756824e-09,8.2683425e-07,-1.7814103e-06,-1.4586502e-06,1.937156e-06,1002695560000.0,44970000000000.0,0.9560778,7315000000000.0,-0.758538
