# ells, tt, ee, bb, te
1.650150000000000000e+04 1.140429257716814597e-09 1.148869061311625313e-11 1.093104325721695627e-11 -1.402619859584253385e-11
1.670150000000000000e+04 1.095751257992079544e-09 1.108804726395346037e-11 1.051029732512152510e-11 -1.267981176468409051e-11
1.690150000000000000e+04 1.040327002427032848e-09 1.086908550454548905e-11 1.003172194535971741e-11 -1.201943018963422000e-11
1.710150000000000000e+04 1.009521499535596513e-09 1.006336262308337440e-11 9.410349430937651329e-12 -1.097686908839373446e-11
1.730150000000000000e+04 9.280709365932793236e-10 9.804202640770427456e-12 9.201614439056659950e-12 -1.117128555324588662e-11
1.750150000000000000e+04 9.225466452030655297e-10 9.183670215608930369e-12 8.976444032382414876e-12 -1.078915948526680031e-11
1.770150000000000000e+04 8.493674937238922790e-10 8.838491560078066793e-12 8.362300099690240731e-12 -1.076941612962271193e-11
1.790150000000000000e+04 8.237290819759153263e-10 8.391557350269446335e-12 8.042310797329171073e-12 -1.063952342597936594e-11
1.810150000000000000e+04 7.916323370732994040e-10 8.018561701942919916e-12 7.707879467695687997e-12 -9.257174852230967300e-12
1.830150000000000000e+04 7.723571166123128212e-10 7.893580001467869131e-12 7.270348161668411828e-12 -8.863039960997380116e-12
1.850150000000000000e+04 7.492098671463050353e-10 7.484571197479873267e-12 6.961033255274586378e-12 -8.517923653004189330e-12
1.870150000000000000e+04 7.054043816716418909e-10 6.996318680292909285e-12 6.902039534798960534e-12 -7.491947497240631671e-12
1.890150000000000000e+04 6.614492520696699936e-10 6.880698581426011496e-12 6.362842847907281525e-12 -9.074074499857697974e-12
1.910150000000000000e+04 6.317769430397848165e-10 6.501518018633216694e-12 6.213470887591924773e-12 -7.592921267893929103e-12
1.930150000000000000e+04 6.197362312727343460e-10 6.186076122659770354e-12 6.032504918521489140e-12 -7.799743575283389824e-12
1.950150000000000000e+04 5.917311256443445697e-10 6.105330169918456929e-12 5.717028304276042477e-12 -7.817957734532828268e-12
1.970150000000000000e+04 5.482817444052824832e-10 5.811446492091569552e-12 5.447584014895744863e-12 -6.497689068366040391e-12
1.990150000000000000e+04 5.444774413195574282e-10 5.487898123658385142e-12 5.398423814020954635e-12 -6.201393514806222060e-12
2.010150000000000000e+04 5.237105815499013860e-10 5.347984106802056368e-12 5.065115665869610748e-12 -5.848145396062627601e-12
2.030150000000000000e+04 4.983811291498249637e-10 5.091231585545290640e-12 4.882642362631453897e-12 -6.320993134912352763e-12
2.050150000000000000e+04 4.842527706662823943e-10 4.915811647439896983e-12 4.647412302721204900e-12 -5.590754443712225677e-12
2.070150000000000000e+04 4.944969256581027762e-10 4.923416739688148965e-12 4.759306886056817080e-12 -5.954988554385184345e-12
