# ells, tt, ee, bb, te
7.101500000000000000e+03 3.288641762926741188e-08 4.043454603061327669e-10 2.893277223926056010e-10 -5.007315841050080673e-10
7.301500000000000000e+03 2.924584726621365759e-08 3.546584791995230471e-10 2.593041862732583384e-10 -4.382963741821479774e-10
7.501500000000000000e+03 2.610102696458821791e-08 3.127750912730765359e-10 2.330634964260663317e-10 -3.858908184217453170e-10
7.701500000000000000e+03 2.338785148861570649e-08 2.773012297572801479e-10 2.101615091183178079e-10 -3.422885169967762751e-10
7.901500000000000000e+03 2.103499355069086110e-08 2.468749145433458664e-10 1.900889702407372425e-10 -3.044428873481909806e-10
8.101500000000000000e+03 1.897691027167036897e-08 2.208678732000774535e-10 1.724446913825951263e-10 -2.716905868854532991e-10
8.301500000000000000e+03 1.718397994901450656e-08 1.981982610735113300e-10 1.568726708136506005e-10 -2.435796993512059096e-10
8.501500000000000000e+03 1.560854013468094510e-08 1.785273798694886475e-10 1.430370392549360126e-10 -2.194168848226895528e-10
8.701500000000000000e+03 1.420282323624448166e-08 1.612869431545619471e-10 1.306372573584336580e-10 -1.976507685075376170e-10
8.901500000000000000e+03 1.296259357209827596e-08 1.461211543428390305e-10 1.194944756806941614e-10 -1.786918489758872522e-10
9.101500000000000000e+03 1.183468544145956159e-08 1.326868381081449791e-10 1.095127793761346376e-10 -1.622555300194575710e-10
9.301500000000000000e+03 1.085972328971231546e-08 1.208190902500972640e-10 1.005932156982685722e-10 -1.475833960268897982e-10
9.501500000000000000e+03 9.969800854513980339e-09 1.103306703529997990e-10 9.262620697282238206e-11 -1.343942739411310673e-10
9.701500000000000000e+03 9.190318332923734362e-09 1.010166350317329941e-10 8.550517484160610278e-11 -1.229572268911361973e-10
9.901500000000000000e+03 8.475466354753701483e-09 9.271878985603318568e-11 7.910301616893796542e-11 -1.129748168815152764e-10
1.010150000000000000e+04 7.832388236944456955e-09 8.535180184023332274e-11 7.330597315063063505e-11 -1.037937288769164539e-10
1.030150000000000000e+04 7.260512827833672889e-09 7.873682474531065015e-11 6.805128011774520767e-11 -9.551498723862053119e-11
1.050150000000000000e+04 6.724640548038588735e-09 7.276324574057407390e-11 6.328452784583726680e-11 -8.845378527576433162e-11
1.070150000000000000e+04 6.255849474813122012e-09 6.737846131135130058e-11 5.892896006459377567e-11 -8.185722318240205748e-11
1.090150000000000000e+04 5.815645834721860134e-09 6.247994621819196509e-11 5.491420945474159254e-11 -7.565245934360704877e-11
1.110150000000000000e+04 5.421547838387899900e-09 5.801316887451205698e-11 5.120747044288139549e-11 -7.027067326228831019e-11
1.130150000000000000e+04 5.047839724009780154e-09 5.390410042731113005e-11 4.778935898029880880e-11 -6.536328629228594115e-11
1.150150000000000000e+04 4.712681032587746185e-09 5.018384743258136416e-11 4.465089307002927293e-11 -6.067102529090992114e-11
1.170150000000000000e+04 4.407377584608976039e-09 4.676223326856355844e-11 4.178802157954538129e-11 -5.647901575002164621e-11
1.190150000000000000e+04 4.127337008242855024e-09 4.362949184918863071e-11 3.917293138457220711e-11 -5.276332678880720110e-11
