,RADeg,decDeg,z,fluxmJy_1.4GHz,fluxmJy_30GHz,fluxmJy_90GHz,fluxmJy_148GHz,fluxmJy_219GHz,fluxmJy_277GHz,fluxmJy_350GHz
191867,4.459861,4.166112999999994,1.94774,0.231166,0.0407964,0.0202817,0.0117522,0.00701292,0.00507007,0.00369585
191868,10.149786,7.0710900000000025,1.94774,0.217832,0.0186941,0.0077559,0.00520973,0.00380776,0.0031553,0.0026168
191869,8.660268,10.743304000000004,1.94777,0.239324,0.0153062,0.00635502,0.00426876,0.00312001,0.0025854,0.00214416
191873,7.787933,1.7285740000000045,1.94788,0.125494,0.0107372,0.0044583,0.0029947,0.00218881,0.00181376,0.00150421
191875,10.466992,8.036626,1.94797,0.0902411,0.0108035,0.00328891,0.00209042,0.00151038,0.00124925,0.00103542
191876,5.927578,1.8405499999999992,1.94797,0.0599561,0.00499321,0.00202553,0.00136015,0.000994107,0.000823767,0.000683178
191877,5.933916,1.8408890000000038,1.94797,0.228556,0.0211876,0.00841292,0.00553672,0.00401454,0.00331934,0.00274991
191878,9.633732,10.327123999999996,1.94803,0.228959,0.019719,0.00818268,0.00549635,0.00401724,0.00332889,0.00276076
191879,2.943981,11.357072000000006,1.94806,0.0578116,0.00406226,0.00166577,0.00111867,0.000817614,0.000677515,0.000561886
191880,2.937501,11.353581999999998,1.94806,0.248781,0.0214658,0.00885628,0.00594792,0.00434725,0.00360235,0.00298755
191881,11.320849,5.074283000000005,1.94811,0.389214,0.0334081,0.0138016,0.00926988,0.00677526,0.00561432,0.00465615
191882,10.950457,9.921753999999995,1.94811,0.053019,0.00460446,0.00188817,0.00126633,0.000925237,0.000766652,0.000635796
191883,11.33711,5.0337309999999995,1.94815,0.148705,0.0253764,0.00963785,0.00511332,0.00311116,0.00237686,0.0018673
191884,11.337794,5.032339999999996,1.94815,0.217876,0.0128569,0.00529575,0.00355698,0.00259976,0.0021543,0.00178663
191885,9.125485,11.038885999999998,1.94816,0.0594304,0.00829276,0.00296151,0.00170004,0.00112001,0.000888854,0.000716385
191886,9.125904,11.029776999999997,1.94816,2.33479,0.199787,0.082928,0.0557038,0.0407136,0.0337373,0.0279795
191887,1.465076,9.754253000000002,1.94826,25.4678,2.0891,0.848806,0.569854,0.416485,0.345119,0.286219
191888,11.121037,6.698674000000001,1.9483,0.054688,0.00451231,0.00187358,0.00125851,0.000919838,0.000762224,0.000632138
191889,9.020982,11.044709999999998,1.94832,0.10747,0.00922578,0.00382951,0.00257233,0.0018801,0.00155794,0.00129206
191890,4.212822,6.355411999999999,1.94832,0.260985,0.011875,0.0049267,0.00330934,0.00241877,0.00200432,0.00166225
