# ells, tt, ee, bb, te
1.350150000000000000e+04 7.326741278927947909e-02 7.622630293525724590e-04 7.011984876437773453e-04 -9.181386398755281980e-04
1.370150000000000000e+04 7.107161184047472435e-02 7.401476295581067366e-04 6.817947146377788563e-04 -8.908493197523520727e-04
1.390150000000000000e+04 6.919822703913508510e-02 7.187330552325517591e-04 6.634545715412715119e-04 -8.662522063551463761e-04
1.410150000000000000e+04 6.722261654785735563e-02 6.986140184252376435e-04 6.464009024435469651e-04 -8.424189884249311472e-04
1.430150000000000000e+04 6.562324283890268173e-02 6.794513532215202536e-04 6.303362432225347815e-04 -8.169899378697172794e-04
1.450150000000000000e+04 6.388864067535099389e-02 6.610087121461410324e-04 6.149918591653245588e-04 -7.956637079768834461e-04
1.470150000000000000e+04 6.222499743129927124e-02 6.431406101295135879e-04 5.998545843925951132e-04 -7.752062994623513644e-04
1.490150000000000000e+04 6.070908462654317495e-02 6.259721728422165893e-04 5.847632080371499780e-04 -7.518986759254890585e-04
1.510150000000000000e+04 5.908160240677248765e-02 6.090088930473998860e-04 5.698634257521405623e-04 -7.312172419805704985e-04
1.530150000000000000e+04 5.769766664175992460e-02 5.926221918882894433e-04 5.553908430663191285e-04 -7.127357511047960207e-04
1.550150000000000000e+04 5.615102757124257327e-02 5.768407593100184118e-04 5.415494822799171758e-04 -6.920540016156444653e-04
1.570150000000000000e+04 5.491443396656296022e-02 5.620300153774584594e-04 5.285198266449360688e-04 -6.734927865920819785e-04
1.590150000000000000e+04 5.352018397336189698e-02 5.476863738150856845e-04 5.164676070915817045e-04 -6.574779857737609668e-04
1.610150000000000000e+04 5.240695113244974584e-02 5.343691784993549786e-04 5.050900701580029193e-04 -6.405728034283627442e-04
1.630150000000000000e+04 5.118857459951795669e-02 5.217177131061669906e-04 4.941168576413739995e-04 -6.249449387283372492e-04
1.650150000000000000e+04 4.998571525755322875e-02 5.093541336648984338e-04 4.832867334586861277e-04 -6.109498084872835855e-04
1.670150000000000000e+04 4.893445110163876371e-02 4.975684677457298342e-04 4.725698618178402312e-04 -5.962334518394149995e-04
1.690150000000000000e+04 4.768724358749441145e-02 4.860140007207886079e-04 4.620765528191195411e-04 -5.825995108123547053e-04
1.710150000000000000e+04 4.675374906138617115e-02 4.748588042508944374e-04 4.518811509156503165e-04 -5.695153949359342549e-04
1.730150000000000000e+04 4.558434000079333165e-02 4.639817719753371993e-04 4.421407501273482495e-04 -5.562778457338058910e-04
1.750150000000000000e+04 4.469505146707703630e-02 4.536683033100107412e-04 4.327766455072556170e-04 -5.440317596892296510e-04
1.770150000000000000e+04 4.366243623817070429e-02 4.434889121509450198e-04 4.237618106995261029e-04 -5.322914744976983518e-04
1.790150000000000000e+04 4.276383380213726049e-02 4.338327755088910347e-04 4.149768320098283351e-04 -5.202614722531832261e-04
1.810150000000000000e+04 4.186778257448494495e-02 4.244762141246115621e-04 4.064534827960251972e-04 -5.090660464221295626e-04
1.830150000000000000e+04 4.091438329430804183e-02 4.151961785853720225e-04 3.982493201469610670e-04 -4.984451985916248367e-04
1.850150000000000000e+04 4.019363907708543848e-02 4.064460243670594544e-04 3.903105981736232051e-04 -4.873862480329698940e-04
1.870150000000000000e+04 3.925840178733720071e-02 3.976567313846182629e-04 3.825887380782160073e-04 -4.766626442284751294e-04
1.890150000000000000e+04 3.863046942148526397e-02 3.891458018707297847e-04 3.748593289668417333e-04 -4.665806599995511272e-04
1.910150000000000000e+04 3.769107615832640451e-02 3.807967811866226366e-04 3.671497328939693537e-04 -4.561668045169525515e-04
1.930150000000000000e+04 3.702091969679935368e-02 3.727445367545185388e-04 3.595308660314005590e-04 -4.463374249383668759e-04
1.950150000000000000e+04 3.622424227608499192e-02 3.648010599186874629e-04 3.523308908752244306e-04 -4.370813284041957900e-04
1.970150000000000000e+04 3.551975241258664706e-02 3.575445285595225432e-04 3.457145325535371889e-04 -4.277186128800646242e-04
1.990150000000000000e+04 3.496196351825316129e-02 3.503872133026917713e-04 3.394591052277602791e-04 -4.196326467997474655e-04
2.010150000000000000e+04 3.418882629614765356e-02 3.436234292376457930e-04 3.334512039660794485e-04 -4.115163026062227487e-04
2.030150000000000000e+04 3.370031150593261193e-02 3.371859869799288746e-04 3.273821038401409441e-04 -4.032544418609587092e-04
2.050150000000000000e+04 3.287429293146462705e-02 3.303985462446749574e-04 3.209282821026052742e-04 -3.956063053290008046e-04
2.070150000000000000e+04 3.396073188199174447e-02 3.404064657741850291e-04 3.306703309917227761e-04 -4.078213860522188899e-04
